1.4.3,Transparency ,Are audit reports or audit results available to the public?,,"Red: Audit reports and audit results are not available to the public. Yellow: Audit reports are not available to the public, but
a general summary of the report and/or audit results are available to the public. Green: Audit reports and audit results are available to the public.
","Red, Yellow, Green",,No,"Audit reports are not available to the public, but a general summary of the  audit results is available to the public. ","yes, at least some documents and further plans to  published through International Aid Transparency Initiative (IATI) and reports on the progress and deficiencies of the member companies are published.","• The database stores and connects the assessment and certification data, the GLOBALG.A.P. Number (GGN), a 13-digit number uniquely identifies each producer and individual member of a producer group in the GLOBALG.A.P. Database – also with a public search system. The system provides instant and complete accessibility of registration and status data of every producer and product for all options. ",N.A.,N.A.,"Audit reports and results are available to the public, including list of 1st tier suppliers. ",No,No,No,No,"• Every certified operation is published on the Fair for Life website with an overview of their overall performance rating and evaluation of social impact together with information on the companies’ particular achievements, use of the Fair Trade Development Premium and Social & Fair Trade activities",no,Yes,No,"Yes, MSC has a public review of draft report which makes assessment reports availble for public comments for 30 days on the website","Yes, the summaries of audit results are public","Yes, the summaries of audit results are public",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.3,,,,,,detailed scoring,0,1,1,1,0,0,2,0,0,0,0,2,0,2,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.4,Consumer Communication: claims,How large a portion of raw materials must be in accordance with criteria before a claim of responsibility can be made?,,"Red: A consumer product can carry the scheme’s logo or a text that references it, even when the product is less than 10 per cent certifi ed or audited. Yellow: A consumer product can carry the scheme’s logo or a text that references it, when the product is at least 30 per cent certifi ed or audited. Green: A consumer product can carry the scheme’s logo or a text that references it, when the product is at least 80 per cent certifi ed or audited.",,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,95%,"Singleingredient product  100%, At least 80% of all agricultural ingredients are certified Fair Trade quality, the fair trade content shall be displayed on the label, e.g. under the ingredient list, ","Single-ingredient products:
100% Multi-ingredient
products: all
ingredients that Fairtrade
standards exist
for must be 100%
Fairtrade. The total
percentage of Fairtrade
ingredients in a
multi-ingredient product
must be claimed
and meet at least 20%
threshold.","Single-ingredient products:
100 per cent. Multi-
ingredient products:
70 per cent certified +
30 per cent controlled
raw material (marked
FSC MIX).",N.A.,"No critera, but fisheries must at least score 60 for each of the 28 performance indicators and an average score of 80 across all performance indicators under each of the three principles","Single-ingredient products:
minimum 30%
Multi-ingredient products:
minimum 30% of
the identified core ingredient","Single-ingredient products:
95 % Multi-ingredient
products: 95%","Single-ingredient
products: 90% Multiingredient
products:
90% of the certified
ingredient(s); certified
ingredient(s) must be
specified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.4,,,,,,detailed scoring,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer communication: label,Is a label on the product? ,No/yes,,no scoring,No scoring,No,No,No,No,No,No,No,No,No,No,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scoring with points (Green = 2; Yellow = 1; Red = 0;  Grey = No scoring),,,,Max Score = 6,,1,2,1,3,0,0,3,0,0,1,3,5,4,6,1,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MaxScore,,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade ,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO ,UTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Governance,,,,4,,0,0,4,0,0,1,2,1,0,0,1,1,4,4,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Impact, Monitoring and Risk Assessment",,,,6,,2,3,5,2,1,1,4,3,0,1,0,5,4,3,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sustainability Audits,,,,10,,0,3,1,2,0,0,5,4,0,0,2,5,5,4,4,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Traceability, Transparency & Consumer Communication",,,,6,,1,2,1,3,0,0,3,0,0,1,3,5,4,6,1,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Overall score Credability,26,,3,8,11,7,1,2,14,8,0,2,6,16,17,17,11,10,9,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Relative Scoring,,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade ,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO ,UTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Governance,4,,0.0%,0.0%,100.0%,0.0%,0.0%,25.0%,50.0%,25.0%,0.0%,0.0%,25.0%,25.0%,100.0%,100.0%,50.0%,50.0%,0.0%,50.0%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Impact, Monitoring and Risk Assessment",6,,33.3%,50.0%,83.3%,33.3%,16.7%,16.7%,66.7%,50.0%,0.0%,16.7%,0.0%,83.3%,66.7%,50.0%,66.7%,50.0%,50.0%,50.0%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Sustainability Audits,10,,0.0%,30.0%,10.0%,20.0%,0.0%,0.0%,50.0%,40.0%,0.0%,0.0%,20.0%,50.0%,50.0%,40.0%,40.0%,20.0%,30.0%,30.0%,30.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Traceability, Transparency & Consumer Communication",6,,16.7%,33.3%,16.7%,50.0%,0.0%,0.0%,50.0%,0.0%,0.0%,16.7%,50.0%,83.3%,66.7%,100.0%,16.7%,50.0%,50.0%,83.3%,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Overall score Credability,26,,11.5%,30.8%,42.3%,26.9%,3.8%,7.7%,53.8%,30.8%,0.0%,7.7%,23.1%,61.5%,65.4%,65.4%,42.3%,38.5%,34.6%,50.0%,38.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
